Gender,Age,Education,Credit_Score,Annual_Income,Loan_Amount,Years_Employed,Credit_Approved
Male,44,High School,724,118846,21374,9,1
Male,23,Bachelors,838,47927,8775,5,1
Male,52,Bachelors,568,91630,32388,26,1
Female,20,High School,744,77347,26029,27,1
Female,38,Bachelors,724,113860,23445,18,1
Female,50,Bachelors,690,111210,19645,20,1
Female,35,Bachelors,795,94518,36105,7,1
Male,33,High School,642,70283,18668,0,0
Male,24,Bachelors,788,106326,20960,27,1
Male,60,Masters,754,37205,16357,16,1
Female,45,High School,597,114874,42203,6,1
Female,47,High School,794,37748,20804,13,1
Male,21,Bachelors,844,46097,19626,20,1
Male,25,Doctorate,677,28092,33132,29,1
Male,28,Bachelors,831,78311,12951,20,1
Male,52,Bachelors,566,47692,11449,16,1
Female,60,Bachelors,620,48862,24065,8,0
Female,44,Bachelors,818,115396,40967,16,1
Male,32,High School,831,104507,44536,4,1
Female,28,Bachelors,556,105152,14130,25,1
Female,32,Doctorate,652,95469,28824,24,1
Male,50,Bachelors,742,29926,46401,29,1
Male,60,Masters,790,116299,41993,19,1
Male,30,Masters,611,28969,36875,28,1
Male,23,High School,566,60733,11054,7,0
Male,53,Doctorate,720,94855,39273,5,1
Male,57,High School,574,66743,46821,10,0
Male,23,Bachelors,800,64876,15832,18,1
Male,57,High School,802,45323,34670,3,0
Female,38,High School,756,41428,27852,17,1
Male,25,Bachelors,578,59578,28620,0,0
Male,53,High School,666,111486,33307,12,1
Male,37,Bachelors,831,89140,6551,13,1
Female,32,Bachelors,693,108829,32812,23,1
Male,60,High School,574,31364,18799,0,0
Male,42,High School,705,60349,31312,29,1
Female,38,Bachelors,622,25691,44620,28,1
Female,64,Bachelors,669,91467,6449,10,1
Female,30,Masters,642,70896,29426,16,1
Male,20,Bachelors,635,82062,40427,3,0
Male,43,Masters,667,104762,45277,25,1
Female,26,Bachelors,782,38861,36551,11,0
Female,44,Bachelors,748,113302,29277,9,1
Female,40,Bachelors,755,88928,40489,5,1
Female,34,High School,696,108231,14637,24,1
Male,20,Bachelors,820,66347,48258,0,1
Female,31,Masters,688,28121,40693,6,0
Male,26,Bachelors,730,108793,14824,25,1
Male,34,Masters,579,53164,31950,26,1
Male,40,Masters,606,50491,28488,20,1
Male,38,Masters,781,84222,44008,27,1
Male,48,Doctorate,695,48165,5215,15,1
Male,44,Bachelors,597,28748,45067,23,1
Female,52,Bachelors,743,51553,16523,13,1
Male,51,Bachelors,773,85380,15364,22,1
Female,54,Bachelors,685,69331,8153,19,1
Male,63,Bachelors,571,64560,28834,19,1
Male,57,Masters,555,78865,39474,5,0
Male,45,Bachelors,753,71686,48066,21,1
Male,30,Bachelors,788,100910,39335,24,1
Male,54,High School,734,29675,15400,27,1
Male,27,Bachelors,841,91706,15345,4,1
Male,33,High School,769,102986,38896,23,1
Female,29,Masters,665,101216,24894,20,1
Male,21,Bachelors,598,35068,33899,17,1
Female,28,High School,722,79460,45635,14,1
Male,22,High School,631,71418,33229,5,0
Female,40,Bachelors,594,51206,10583,24,1
Female,45,Bachelors,569,25287,9897,28,1
Female,27,Bachelors,770,47337,11001,18,1
Male,21,High School,672,45666,48881,0,0
Male,25,Bachelors,783,26161,9567,0,0
Male,47,Bachelors,770,115071,14271,12,1
Female,48,Bachelors,552,63751,16703,2,0
Female,45,Bachelors,731,107063,18329,9,1
Female,44,Bachelors,755,114389,40509,20,1
Male,31,High School,589,39758,11256,2,0
Female,24,Doctorate,608,90780,5228,8,0
Female,53,Bachelors,611,28178,29746,7,0
Male,56,Bachelors,681,56831,21678,2,0
Male,34,High School,609,27176,42052,24,1
Female,63,Bachelors,671,58654,28185,12,0
Female,55,High School,656,51627,38686,5,0
Female,34,Bachelors,645,77550,16445,12,1
Male,62,Doctorate,784,69910,38266,22,1
Female,42,Bachelors,611,115417,7809,19,1
Male,25,High School,805,83251,42729,19,1
Male,63,High School,598,60422,46785,11,1
Male,62,Bachelors,708,36984,41547,12,1
Female,64,High School,673,114312,47818,1,1
Female,40,High School,756,86386,39886,20,1
Male,42,Masters,597,108291,11391,23,1
Male,62,Bachelors,685,32135,5145,22,1
Female,35,High School,750,25320,18929,15,0
Male,34,Doctorate,799,119171,29326,22,1
Female,44,High School,844,46684,34991,5,0
Male,55,Doctorate,758,80913,42333,18,1
Male,30,Bachelors,760,113774,21576,20,1
Male,34,Masters,741,46889,44405,12,1
Male,23,Bachelors,593,73899,33464,16,1
Female,40,Masters,578,35770,13243,22,0
Male,32,Doctorate,608,64321,36601,8,0
Male,41,High School,620,110962,7410,16,1
Female,38,Doctorate,641,66777,6820,28,1
Male,53,Bachelors,814,71250,40289,1,1
Male,33,Bachelors,769,98034,43650,18,1
Female,23,Bachelors,764,65130,39635,18,1
Female,46,Bachelors,826,106931,12465,23,1
Male,48,High School,613,74346,37439,6,0
Female,47,Bachelors,841,27537,32314,21,1
Female,54,Bachelors,794,109762,49229,9,1
Male,27,Masters,611,40216,24583,9,0
Male,35,Masters,719,109149,32155,26,1
Female,61,Bachelors,818,28009,43871,19,1
Female,55,Bachelors,816,114904,17197,8,1
Male,49,High School,603,54327,34511,16,1
Female,37,High School,565,39209,20424,26,1
Female,21,High School,557,73443,5240,14,0
Male,32,Bachelors,653,40029,9631,1,0
Male,23,High School,608,92613,14599,29,1
Male,45,Doctorate,589,104443,49462,3,1
Female,44,Bachelors,786,81997,29658,18,1
Male,49,Bachelors,643,87559,42845,16,1
Female,30,Bachelors,771,89892,37574,4,1
Female,26,High School,753,95409,41536,6,1
Female,50,Bachelors,687,33635,46910,17,0
Male,63,Bachelors,849,58065,12995,20,1
Female,29,Bachelors,756,58783,30186,21,1
Male,58,Bachelors,630,59152,34245,26,1
Female,32,Doctorate,767,83741,27813,6,1
Male,50,Masters,551,76502,18276,16,1
Male,26,Bachelors,727,54092,24989,6,0
Female,61,Bachelors,828,42653,17746,3,0
Male,61,Bachelors,695,65469,49243,7,1
Male,55,High School,773,111483,23557,12,1
Female,39,Bachelors,611,84754,33060,3,0
Female,23,High School,843,54978,11568,5,0
Female,26,Bachelors,788,112592,40369,24,1
Female,20,Bachelors,744,119543,24041,4,1
Male,63,High School,715,68169,11080,29,1
Male,64,Doctorate,771,73287,18854,11,1
Male,61,Doctorate,610,79745,7159,3,0
Male,32,Masters,678,30543,32025,23,1
Female,41,Bachelors,722,81392,46081,28,1
Female,40,Masters,705,46067,9368,8,0
Male,41,High School,659,76033,39085,3,0
Male,47,Masters,818,70256,32094,18,1
Female,28,High School,827,115633,6230,23,1
Male,45,Masters,623,94345,22517,13,1
Female,28,High School,756,47191,28991,4,0
Male,34,Masters,828,111803,6301,17,1
Female,29,Doctorate,753,97742,33610,9,1
Male,43,High School,710,111593,20927,24,1
Female,61,Bachelors,577,53992,39678,18,0
Female,27,Doctorate,806,106531,29466,11,1
Female,43,Bachelors,714,73803,19904,17,1
Female,35,Masters,612,88477,45875,16,1
Female,45,Bachelors,571,38210,31081,29,1
Female,46,Bachelors,619,108329,29354,23,1
Male,56,High School,645,51270,32761,10,0
Female,23,High School,712,87008,23300,2,0
Female,43,Masters,628,30197,34491,22,0
Male,38,Bachelors,554,32452,40525,16,0
Female,55,Bachelors,669,66486,31532,0,0
Female,58,Bachelors,727,39859,11464,14,0
Female,29,Bachelors,725,52236,21562,27,1
Male,44,Masters,766,56899,46856,8,1
Male,37,Doctorate,605,57083,47511,14,1
Female,38,Bachelors,736,92708,13683,27,1
Female,55,Masters,781,41663,37634,23,1
Male,29,Masters,804,118076,5060,27,1
Female,52,Bachelors,653,44053,14269,28,1
Female,24,Doctorate,626,36085,28065,2,0
Male,54,High School,779,55564,7895,21,1
Female,63,High School,807,114745,20323,26,1
Male,53,Masters,813,84095,17352,18,1
Male,52,Bachelors,731,94517,49643,12,1
Male,40,Masters,805,46153,43591,11,1
Female,36,Masters,587,30247,35890,19,0
Male,41,High School,725,35553,37016,0,0
Male,56,Masters,576,45811,16962,20,1
Male,34,Bachelors,825,31135,38302,16,1
Male,54,Bachelors,689,30573,24846,12,0
Female,47,Bachelors,848,104267,9011,0,1
Male,26,Doctorate,836,32189,24782,9,1
Male,51,High School,640,105077,7155,14,1
Female,30,Bachelors,610,68646,44725,26,1
Male,29,Bachelors,712,101623,14196,26,1
Male,28,Masters,692,78687,48459,29,1
Male,33,Bachelors,802,93312,26709,6,1
Male,32,High School,818,52564,18327,27,1
Male,44,High School,840,53835,40474,21,1
Male,21,Bachelors,736,86587,37769,17,1
Male,54,Masters,840,32697,46993,15,1
Female,26,High School,635,105165,29700,13,1
Male,40,High School,715,98922,19820,26,1
Female,37,Doctorate,663,42046,15891,27,1
Female,22,High School,732,82823,39629,17,1
Male,61,Doctorate,756,98580,10269,26,1
Female,58,Bachelors,805,78370,48880,6,1
Male,60,Masters,784,34615,13320,16,1
Female,30,High School,552,30060,15740,28,1
Male,58,High School,757,101436,40897,17,1
Male,43,Masters,746,85519,35930,11,1
Male,38,Masters,674,96117,22285,7,1
Female,23,Masters,687,86158,19380,21,1
Male,45,High School,574,59782,16360,29,1
Female,57,Masters,617,110709,10398,1,0
Male,61,Masters,610,103533,10529,6,1
Female,51,Bachelors,578,83255,34062,3,0
Male,58,Masters,568,97684,41686,17,1
Female,64,Masters,720,81918,22451,27,1
Male,55,Bachelors,623,109284,11937,5,1
Male,59,High School,610,104558,44886,26,1
Male,56,Bachelors,702,110549,15860,8,1
Male,52,High School,825,106422,30142,26,1
Female,55,Bachelors,597,50256,30279,8,0
Male,22,Bachelors,760,55005,43106,13,1
Female,28,High School,688,31638,40908,7,0
Male,27,Bachelors,659,62419,45764,18,1
Male,52,High School,732,58377,19201,2,0
Male,25,Masters,577,68116,45544,17,1
Male,60,Doctorate,746,61634,42711,4,1
Female,58,High School,740,107291,13997,13,1
Male,23,Doctorate,600,48382,45566,27,1
Male,32,Bachelors,698,81063,25175,29,1
Female,21,High School,817,47394,45860,3,0
Female,24,High School,599,92789,8225,6,0
Male,63,Bachelors,795,25864,49578,19,1
Male,46,Masters,662,65222,40228,24,1
Female,51,Masters,719,38666,46505,27,1
Male,40,High School,715,45955,28110,11,1
Male,27,High School,563,106845,15754,1,1
Male,57,Bachelors,752,94590,31655,10,1
Female,27,High School,837,91471,48601,13,1
Female,22,High School,738,113314,8114,21,1
Male,63,High School,704,68298,31502,22,1
Male,22,Masters,604,88108,25028,15,1
Male,41,Doctorate,731,73924,22587,19,1
Female,25,Bachelors,759,41709,47719,28,1
Male,21,Doctorate,624,34726,40333,5,0
Male,42,Bachelors,826,85824,8174,22,1
Female,63,Bachelors,682,65542,40398,3,0
Male,21,High School,608,45245,40929,14,1
Female,57,Bachelors,731,59753,9321,23,1
Male,36,Doctorate,613,104788,35435,24,1
Male,54,Bachelors,809,46316,12099,0,0
Male,53,Bachelors,742,109698,28760,6,1
Female,42,Bachelors,692,40960,16360,24,1
Female,49,High School,653,55791,15313,11,0
Female,27,Masters,763,50216,25462,9,0
Male,41,Bachelors,791,57467,10801,4,1
Female,63,Bachelors,758,89427,19130,11,1
Male,55,Bachelors,642,87047,19271,17,1
Male,24,Bachelors,691,98290,21075,9,1
Female,32,High School,661,72014,41919,5,0
Male,48,Bachelors,608,29078,46679,27,1
Male,50,High School,592,103389,23984,11,1
Male,35,Masters,756,75519,27559,6,1
Male,61,Masters,817,29042,17861,17,1
Male,49,Masters,845,74052,38434,1,1
Female,35,Bachelors,667,39389,21667,9,0
Male,31,Bachelors,569,93111,10840,14,1
Female,36,High School,771,118715,8565,29,1
Female,35,Masters,715,75733,48194,11,1
Male,31,High School,680,59754,25977,25,1
Male,27,Bachelors,705,43624,26118,16,1
Male,39,High School,733,110886,27641,3,1
Female,22,High School,639,51681,12366,6,0
Male,35,Bachelors,643,114524,31636,29,1
Female,49,High School,562,106006,20630,8,1
Male,64,Masters,842,49704,25056,18,1
Female,42,Bachelors,779,119913,12382,27,1
Male,47,High School,841,119108,21149,26,1
Male,59,Bachelors,575,32493,5992,22,1
Female,24,High School,624,94639,11858,6,0
Female,39,High School,848,79383,7121,22,1
Male,59,Masters,699,27994,32160,1,0
Female,63,High School,697,94280,25906,5,1
Male,20,Masters,557,72234,24572,17,1
Female,49,High School,578,72291,9136,5,0
Female,40,High School,845,117868,21727,12,1
Male,39,Masters,758,30594,37167,25,1
Male,25,Bachelors,677,32371,20479,18,1
Male,41,High School,665,72315,36376,29,1
Male,37,Bachelors,693,108564,9823,1,1
Female,27,High School,784,104526,9920,11,1
Male,58,Masters,556,41626,24585,14,0
Male,51,Bachelors,594,111005,43239,13,1
Female,52,Masters,788,32130,22272,5,0
Female,35,Masters,704,31828,31619,17,0
Male,31,Bachelors,730,82514,14533,4,1
Male,57,Doctorate,764,77664,44895,17,1
Male,53,Bachelors,637,42883,8720,2,0
Male,33,Doctorate,805,68059,24267,2,1
Female,55,High School,622,109078,20696,21,1
Male,52,Bachelors,728,67932,34968,21,1
Female,42,Bachelors,761,86269,28345,9,1
Male,64,Bachelors,842,100986,30693,18,1
Female,21,Bachelors,783,110959,24385,2,1
Female,60,Masters,788,27035,23122,28,1
Female,40,High School,772,65745,6364,11,1
Male,21,High School,668,42241,7708,28,1
Male,46,Masters,813,77975,17982,15,1
Male,28,Bachelors,756,48154,22308,16,1
Female,20,Doctorate,644,50625,37919,6,0
Female,30,Masters,771,69950,30161,12,1
Female,22,Doctorate,825,81396,40089,23,1
Female,42,Masters,780,38331,18865,1,0
Female,45,High School,668,88927,5495,3,0
Male,23,High School,817,111226,49755,9,1
Female,37,Masters,822,109719,7148,6,1
Male,25,Bachelors,613,88014,38324,23,1
Male,54,High School,847,64346,18393,16,1
Male,41,Bachelors,560,95411,6552,19,1
Male,62,Doctorate,647,79478,40853,5,1
Male,34,Bachelors,620,37254,37924,18,1
Female,41,Bachelors,607,80734,13926,4,0
Male,56,Bachelors,839,53621,35851,9,1
Female,61,High School,800,101441,28889,8,1
Male,31,Bachelors,825,71121,44930,26,1
Male,61,Bachelors,599,106418,13055,12,1
Male,57,High School,765,85197,9654,18,1
Male,37,Masters,601,109577,27634,20,1
Female,64,Bachelors,820,119634,37363,23,1
Male,54,Masters,633,67431,16468,5,0
Female,49,Masters,842,29837,37922,3,0
Male,43,High School,675,115025,45718,23,1
Female,61,Bachelors,845,108163,22380,26,1
Female,49,Bachelors,621,96232,31870,2,0
Female,33,Masters,845,73994,42394,2,1
Male,25,High School,785,104079,19259,3,1
Male,22,Bachelors,605,37615,19873,24,1
Male,35,Bachelors,659,26466,18016,4,0
Female,26,High School,741,55771,47137,7,0
Male,33,High School,642,108886,5153,15,1
Male,28,Bachelors,605,90911,12853,21,1
Female,34,Masters,609,45746,17379,2,0
Male,40,Bachelors,687,113422,20792,23,1
Female,54,Bachelors,588,85739,43367,11,1
Male,21,Bachelors,577,98369,23100,24,1
Male,46,Masters,598,26893,16049,7,0
Female,21,High School,674,55573,5786,12,0
Male,54,Masters,562,65874,9368,3,0
Female,37,High School,585,102362,35699,13,1
Male,33,Bachelors,650,112460,42040,13,1
Male,39,High School,831,58367,32454,12,1
Female,37,High School,635,46199,43762,26,1
Female,29,Bachelors,553,116404,28600,5,1
Female,44,High School,772,99328,34238,16,1
Male,21,Masters,715,82724,30241,3,1
Female,44,High School,827,111133,24810,7,1
Male,52,Bachelors,679,61405,25167,16,1
Male,55,Bachelors,580,40989,26811,2,0
Female,50,High School,560,53931,44779,16,0
Male,33,High School,645,34290,25085,8,0
Female,20,Bachelors,739,63367,14261,1,0
Male,35,Bachelors,741,104878,23733,24,1
