alter,laufzeit_monate,kredit_betrag,sparkonto,beschaeftigung,Credit_Approved
52,36,6103,keins,mittel,1
24,24,10060,gering,mittel,0
57,24,574,gering,lang,1
58,6,11883,mittel,kurz,1
67,18,7432,hoch,mittel,1
41,36,9976,keins,mittel,0
71,24,12499,gering,kurz,1
68,36,14428,gering,lang,0
39,36,7353,gering,mittel,0
53,12,9462,gering,lang,1
65,48,6195,keins,lang,1
47,18,1265,gering,mittel,1
53,24,6107,gering,mittel,1
20,24,3822,gering,kurz,0
51,12,7924,gering,lang,1
44,60,13961,gering,mittel,0
62,24,8495,gering,kurz,1
50,12,1225,gering,kurz,1
36,18,10856,mittel,kurz,0
52,6,7580,gering,mittel,1
48,36,263,mittel,mittel,1
62,6,5423,gering,kurz,1
41,12,6997,gering,kurz,1
66,36,2779,mittel,mittel,1
73,36,4578,mittel,mittel,1
38,18,3493,mittel,kurz,1
64,36,13002,mittel,mittel,0
41,36,10817,mittel,lang,0
58,12,3155,mittel,lang,1
26,12,6820,gering,lang,0
32,12,528,gering,kurz,1
41,36,1345,gering,kurz,1
64,18,1786,gering,kurz,1
32,12,7372,mittel,mittel,1
20,60,2877,gering,kurz,0
22,36,7981,gering,mittel,0
42,12,2344,keins,mittel,1
69,60,596,gering,arbeitslos,1
54,18,2630,mittel,lang,1
27,36,12478,keins,arbeitslos,0
34,12,5029,mittel,arbeitslos,1
50,18,1577,gering,mittel,1
50,60,651,mittel,kurz,1
45,60,9102,gering,mittel,0
33,12,4666,mittel,mittel,1
67,60,13838,gering,mittel,0
22,6,276,gering,kurz,1
54,36,7321,gering,kurz,1
43,24,6770,gering,mittel,1
33,48,4848,gering,mittel,0
30,36,7794,gering,lang,0
25,6,7053,keins,mittel,0
54,24,13043,hoch,kurz,0
42,24,2490,gering,lang,1
24,60,13581,gering,lang,0
66,12,4247,gering,lang,1
59,24,12989,gering,mittel,1
63,36,8843,gering,kurz,1
49,48,6208,hoch,kurz,1
39,60,11657,mittel,mittel,0
29,48,5323,mittel,mittel,0
34,60,2330,mittel,lang,0
32,18,2517,keins,mittel,1
43,6,12913,gering,mittel,0
32,12,7325,mittel,mittel,1
56,18,6155,gering,mittel,1
36,48,12112,mittel,kurz,0
32,60,11739,mittel,lang,0
42,24,12932,gering,mittel,0
69,12,13086,gering,mittel,1
26,12,1956,gering,mittel,1
63,60,5311,gering,mittel,1
43,60,13327,gering,lang,0
52,60,14299,mittel,lang,0
63,6,5530,hoch,lang,1
62,6,13157,gering,lang,1
46,12,8792,gering,kurz,1
42,12,6107,keins,lang,1
36,24,3810,mittel,kurz,1
52,24,1156,gering,mittel,1
60,48,14361,mittel,lang,0
21,60,11382,gering,kurz,0
30,36,8387,gering,mittel,0
54,48,8575,mittel,lang,0
23,12,1556,gering,mittel,0
37,48,5638,gering,mittel,0
30,24,12222,hoch,arbeitslos,0
45,6,5540,gering,kurz,1
35,48,2171,gering,mittel,1
61,36,1748,gering,kurz,1
46,60,10720,gering,arbeitslos,0
58,18,6444,hoch,mittel,1
40,36,11239,mittel,kurz,0
28,60,2491,gering,kurz,0
59,6,13002,gering,lang,1
24,60,9424,gering,kurz,0
35,12,10436,gering,lang,0
30,18,6899,gering,mittel,0
24,36,8111,gering,lang,0
61,24,13660,gering,mittel,0
40,12,14801,gering,arbeitslos,0
68,12,6055,gering,arbeitslos,1
34,36,11721,keins,kurz,0
22,18,1856,gering,mittel,0
43,18,516,gering,lang,1
51,24,9397,mittel,arbeitslos,1
19,6,925,hoch,lang,0
33,6,3568,mittel,kurz,1
35,24,9473,gering,arbeitslos,0
61,18,11668,mittel,mittel,1
37,24,7845,gering,kurz,0
72,36,7207,gering,mittel,1
68,48,960,keins,mittel,1
37,48,2728,gering,mittel,1
38,48,12139,gering,mittel,0
19,12,4220,mittel,kurz,0
41,36,10791,gering,lang,0
34,48,2559,hoch,mittel,0
42,36,3961,keins,kurz,1
38,18,1076,gering,kurz,1
33,12,6283,gering,arbeitslos,1
42,6,11706,gering,mittel,0
55,18,13564,gering,mittel,0
59,18,1468,mittel,mittel,1
51,60,6926,mittel,mittel,0
50,48,14459,keins,lang,0
74,36,1120,gering,kurz,1
49,12,5698,gering,kurz,1
33,36,11553,mittel,lang,0
19,36,13188,gering,kurz,0
67,48,6023,gering,lang,1
30,60,11107,gering,kurz,0
53,12,1914,mittel,mittel,1
55,60,8482,mittel,kurz,0
66,18,14606,gering,mittel,1
48,6,4171,mittel,mittel,1
44,18,1292,gering,lang,1
29,18,14441,gering,lang,0
50,60,8753,gering,mittel,0
20,18,11429,gering,mittel,0
28,12,739,mittel,lang,1
64,18,10745,gering,lang,1
40,60,12609,gering,arbeitslos,0
27,12,7422,gering,lang,0
72,60,9522,gering,mittel,1
73,60,3396,mittel,kurz,1
48,60,4812,hoch,mittel,0
71,12,5882,gering,mittel,1
43,6,4602,gering,lang,1
39,36,8844,gering,mittel,0
36,12,4663,mittel,lang,1
38,6,9541,gering,arbeitslos,1
